,source_id,source_name,author,title,description,url,url_to_image,published_at,content,key_word
591,techcrunch,TechCrunch,Taylor Hatmaker,Top tech CEOs will testify about social media’s role in the Capitol attack this week,"Social media executives will be answering to Congress directly for their role in January’s deadly attacks on the U.S. Capitol this week. Facebook’s Mark Zuckerberg, Twitter’s Jack Dorsey and Google’s Sundar Pichai will all appear virtually before a joint Hous…",http://techcrunch.com/2021/03/23/tech-hearing-capitol-attack-facebook-twitter-google/,https://techcrunch.com/wp-content/uploads/2020/11/trump-election-GettyImages-1284096863.jpg?w=600,2021-03-23T19:14:39Z,"Social media executives will be answering to Congress directly for their role in January’s deadly attacks on the U.S. Capitol this week. Facebook’s Mark Zuckerberg, Twitter’s Jack Dorsey and Google’s… [+4422 chars]",facebook
592,ars-technica,Ars Technica,Tim De Chant,Facebook has been autogenerating pages for white supremacists,Facebook’s efforts to combat extremism remain at odds with engagement goals.,https://arstechnica.com/tech-policy/2021/03/facebook-is-autogenerating-pages-for-white-supremacists/,https://cdn.arstechnica.net/wp-content/uploads/2018/12/GettyImages-1074353570-760x380.jpg,2021-03-25T15:03:12Z,"12 with 12 posters participating
Enlarge/ Facebook CEO Mark Zuckerberg testifying before Congress in April 2018. It wasn't his only appearance in DC this decade.
Facebook CEO Mark Zuckerberg is tes… [+4024 chars]",facebook
593,reuters,Reuters,Elizabeth Culliford,Facebook starts to remove recommendations for political and social groups globally - Reuters,"Facebook Inc said on Wednesday it is starting to remove the recommendations it gives global users for political and social issue Facebook groups, a move it has billed as turning down tension on the site.",https://www.reuters.com/article/facebook-groups-int-idUSKBN2B924K,https://static.reuters.com/resources/r/?m=02&d=20210317&t=2&i=1555219721&r=LYNXMPEH2G18F&w=800,2021-03-17T15:00:00Z,"(Reuters) - Facebook Inc said on Wednesday it is starting to remove the recommendations it gives global users for political and social issue Facebook groups, a move it has billed as turning down tens… [+2525 chars]",facebook
594,reuters,Reuters,Elizabeth Culliford,Facebook starts to remove recommendations for political and social groups globally - Reuters,"Facebook Inc said on Wednesday it is starting to remove the recommendations it gives global users for political and social issue Facebook groups, a move it has billed as turning down tension on the site.",https://www.reuters.com/article/us-facebook-groups-idUSKBN2B924S,https://static.reuters.com/resources/r/?m=02&d=20210317&t=2&i=1555220426&r=LYNXMPEH2G18M&w=800,2021-03-17T15:00:00Z,"(Reuters) - Facebook Inc said on Wednesday it is starting to remove the recommendations it gives global users for political and social issue Facebook groups, a move it has billed as turning down tens… [+2561 chars]",facebook
595,reuters,Reuters,Reuters Staff,Facebook services down for thousands of users: Downdetector - Reuters,"Facebook Inc's platforms including online messaging service WhatsApp and photo-sharing app Instagram were down for thousands of users on Friday, according to outage tracking website Downdetector.com.",https://www.reuters.com/article/us-facebook-outages-idUSKBN2BB232,https://static.reuters.com/resources/r/?m=02&d=20210319&t=2&i=1555513560&r=LYNXMPEH2I158&w=800,2021-03-19T17:56:00Z,"By Reuters Staff
FILE PHOTO: The Facebook application is seen on a phone screen August 3, 2017. REUTERS/Thomas White
(Reuters) - Facebook Incs platforms including online messaging service WhatsApp … [+563 chars]",facebook
596,reuters,Reuters,Reuters Staff,Facebook developing wristband to support augmented reality glasses - Reuters Canada,Facebook Inc said on Thursday it is developing a wristband that would be able to control its augmented reality (AR) glasses that are expected to be launched this year.,https://www.reuters.com/article/us-facebook-augmented-reality-idUSKBN2BA216,https://static.reuters.com/resources/r/?m=02&d=20210318&t=2&i=1555364169&r=LYNXMPEH2H14H&w=800,2021-03-18T15:45:00Z,"By Reuters Staff
FILE PHOTO: A 3D plastic representation of the Facebook logo is seen in this illustration in Zenica, Bosnia and Herzegovina, May 13, 2015. REUTERS/Dado Ruvic
(Reuters) - Facebook I… [+1194 chars]",facebook
597,reuters,Reuters,Reuters Staff,Facebook to let content creators monetize short-form videos - Reuters,"Facebook Inc will allow content creators on its platform to earn revenue from short-form videos via advertisements, the social network said on Thursday.",https://www.reuters.com/article/us-facebook-advertising-idUSKBN2B31ZU,https://static.reuters.com/resources/r/?m=02&d=20210311&t=2&i=1554541984&r=LYNXMPEH2A15M&w=800,2021-03-11T14:22:00Z,"By Reuters Staff
FILE PHOTO: A 3D plastic representation of the Facebook logo is seen in this illustration in Zenica, Bosnia and Herzegovina, May 13, 2015. REUTERS/Dado Ruvic//File Photo
(Reuters) … [+287 chars]",facebook
598,reuters,Reuters,Jody Godoy,Facebook directors get diversity failure lawsuit tossed - Reuters,A federal judge in San Francisco has dismissed a Facebook shareholder's lawsuit accusing the social media giant's officers and directors of failing to solve problems at the company related to racial diversity and inclusion.,https://www.reuters.com/article/securities-facebook-diversity-idUSL1N2LK2TF,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-22T21:18:00Z,A federal judge in San Francisco has dismissed a Facebook shareholders lawsuit accusing the social media giants officers and directors of failing to solve problems at the company related to racial di… [+559 chars],facebook
599,reuters,Reuters,Elizabeth Culliford,Facebook to label all posts about COVID-19 vaccines - Reuters,"Facebook Inc, which has been criticized by lawmakers and researchers for allowing vaccine misinformation to spread on its platforms, said on Monday it has started adding labels to posts that discuss the safety of the shots and will soon label all posts about …",https://www.reuters.com/article/us-health-coronavirus-facebook-idUSKBN2B70NJ,https://static.reuters.com/resources/r/?m=02&d=20210315&t=2&i=1554906832&r=LYNXMPEH2E0H1&w=800,2021-03-15T07:03:00Z,"FILE PHOTO: A Facebook panel is seen during the Cannes Lions International Festival of Creativity, in Cannes, France, June 20, 2018. REUTERS/Eric Gaillard/File Photo
(Reuters) - Facebook Inc, which … [+1944 chars]",facebook
600,reuters,Reuters,Reuters Staff,Facebook plans to reopen California HQ on May 10 - Reuters,"Facebook Inc said on Friday it plans to reopen its Menlo Park, California headquarters with 10% occupancy on May 10, if the COVID-19 situation begins to improve.",https://www.reuters.com/article/us-health-coronavirus-facebook-idUSKBN2BI2QG,https://static.reuters.com/resources/r/?m=02&d=20210326&t=2&i=1556367842&r=LYNXMPEH2P1LZ&w=800,2021-03-26T17:40:00Z,"By Reuters Staff
FILE PHOTO: A 3D-printed Facebook logo is seen placed on a keyboard in this illustration taken March 25, 2020. REUTERS/Dado Ruvic/Illustration/File Photo
(Reuters) - Facebook Inc s… [+795 chars]",facebook
601,reuters,Reuters,Reuters Staff,Venezuela accuses Facebook of 'digital totalitarianism' for suspending Maduro - Reuters,"Venezuela's government on Sunday accused Facebook Inc of ""digital totalitarianism"" after it froze President Nicolas Maduro's page for 30 days for violating policies against spreading misinformation about COVID-19.",https://www.reuters.com/article/us-facebook-venezuela-idUSKBN2BK0H9,https://static.reuters.com/resources/r/?m=02&d=20210328&t=2&i=1556507910&r=LYNXMPEH2R0DA&w=800,2021-03-28T16:16:00Z,"By Reuters Staff
CARACAS (Reuters) - Venezuelas government on Sunday accused Facebook Inc of digital totalitarianism after it froze President Nicolas Maduros page for 30 days for violating policies … [+1588 chars]",facebook
602,reuters,Reuters,"Ruma Paul, Devjyot Ghoshal","Amid Modi visit, Facebook says services restricted in Bangladesh - Reuters","COX'S BAZAR (Reuters) - Social network Facebook and its messaging app have been down in Bangladesh since Friday, the U.S. tech giant said on Saturday, as protesters oppose Indian Prime Minister Narendra Modi's two day visit to the country.",https://www.reuters.com/article/bangladesh-security-india-idUSKBN2BJ07K,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-27T07:53:00Z,"COXS BAZAR (Reuters) - Social network Facebook and its messaging app have been down in Bangladesh since Friday, the U.S. tech giant said on Saturday, as protesters oppose Indian Prime Minister Narend… [+1303 chars]",facebook
603,reuters,Reuters,Reuters Editorial,News Corp strikes deal with Facebook in Australia - Reuters,"Rupert Murdoch's News Corp reached a content-supply deal with Facebook in Australia, the companies said on Tuesday, a step toward settling a dispute that saw the social media giant briefly shut down thousands of pages in the country.",https://www.reuters.com/video/watch/idPRxR?now=true,https://ajo.prod.reuters.tv/api/v2/img/60505419e4b0653eea1849df-1615877152406?location=LANDSCAPE,2021-03-16T09:42:38Z,"Posted 
Rupert Murdoch's News Corp reached a content-supply deal with Facebook in Australia, the companies said on Tuesday, a step toward settling a dispute that saw the social media giant briefly s… [+42 chars]",facebook
604,reuters,Reuters,Reuters Staff,Facebook launches fund for human rights defenders facing threat - Reuters,Facebook Inc said on Tuesday it was launching a corporate human rights policy and a fund aimed at supporting human rights defenders facing online threats.,https://www.reuters.com/article/us-facebook-human-rights-idUSKBN2B8305,https://static.reuters.com/resources/r/?m=02&d=20210316&t=2&i=1555125296&r=LYNXMPEH2F1NP&w=800,2021-03-16T21:39:00Z,"By Reuters Staff
FILE PHOTO: A 3D-printed Facebook logo is seen placed on a keyboard in this illustration taken March 25, 2020. REUTERS/Dado Ruvic/Illustration/File Photo/File Photo
(Reuters) - Fac… [+552 chars]",facebook
605,reuters,Reuters,Reuters Staff,Reporters without Borders sues Facebook over hate speech - Reuters,"Reporters Without Borders (RSF) has filed a lawsuit against Facebook in France over hate speech and false information, the global media watchdog said in a statement on Tuesday.",https://www.reuters.com/article/us-france-facebook-idUSKBN2BF1BR,https://static.reuters.com/resources/r/?m=02&d=20210323&t=2&i=1555877592&r=LYNXMPEH2M0Q1&w=800,2021-03-23T11:14:00Z,"By Reuters Staff
FILE PHOTO: The Facebook logo is displayed on a mobile phone in this picture illustration taken December 2, 2019. REUTERS/Johanna Geron/Illustration
PARIS (Reuters) - Reporters Wit… [+1205 chars]",facebook
